"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"WHEAT - CHICAGO BOARD OF TRADE" ,921229 ,1992-12-29,001601 ,CBT ,00 ,001 ,   228850,  35195,  18455,   5045, 105750,  99740, 145990, 123240,  82860, 105610,   173420,  30520,  12170,   1955,  86070,  76995, 118545,  91120,  54875,  82300,    55430,   7760,   9370,      5,  19680,  22745,  27445,  32120,  27985,  23310,     -700,   -900,    160,    845,  -2530,  -9865,  -2585,  -8860,   1885,   8160,  100.0,   15.4,    8.1,    2.2,   46.2,   43.6,   63.8,   53.9,   36.2,   46.1,  100.0,   17.6,    7.0,    1.1,   49.6,   44.4,   68.4,   52.5,   31.6,   47.5,  100.0,   14.0,   16.9,    0.0,   35.5,   41.0,   49.5,   57.9,   50.5,   42.1,     93,     22,     18,      7,     21,     35,     48,     56,     80,     19,     13,      3,     15,     34,     36,     49,     33,      7,      9,      1,     11,      7,     19,     16,    37.2,    20.1,    45.2,    28.2,    37.2,    19.8,    44.6,    27.5,    44.8,    18.8,    52.5,    27.0,    44.8,    18.8,    51.7,    26.3,    26.3,    37.7,    37.9,    47.7,    26.3,    37.7,    37.9,    47.7,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,921222 ,1992-12-22,001601 ,CBT ,00 ,001 ,   229550,  36095,  18295,   4200, 108280, 109605, 148575, 132100,  80975,  97450,   176335,  31570,  13610,   1110,  89250,  87145, 121930, 101865,  54405,  74470,    53215,   7600,   7760,     15,  19030,  22460,  26645,  30235,  26570,  22980,   -23305,  -6600,   3655,   -745,   -210, -19300,  -7555, -16390, -15750,  -6915,  100.0,   15.7,    8.0,    1.8,   47.2,   47.7,   64.7,   57.5,   35.3,   42.5,  100.0,   17.9,    7.7,    0.6,   50.6,   49.4,   69.1,   57.8,   30.9,   42.2,  100.0,   14.3,   14.6,    0.0,   35.8,   42.2,   50.1,   56.8,   49.9,   43.2,     95,     22,     18,      6,     21,     39,     47,     60,     83,     18,     15,      2,     17,     37,     36,     53,     33,      8,      8,      1,     11,      8,     20,     16,    37.8,    21.9,    46.0,    29.3,    37.8,    21.6,    44.8,    28.8,    45.0,    21.3,    53.7,    29.3,    45.0,    21.3,    52.7,    28.5,    26.0,    38.9,    38.1,    48.6,    26.0,    38.9,    38.1,    48.6,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,921215 ,1992-12-15,001601 ,CBT ,00 ,001 ,   252855,  42695,  14640,   4945, 108490, 128905, 156130, 148490,  96725, 104365,   201325,  37785,  10485,   2430,  92105, 108510, 132320, 121425,  69005,  79900,    51530,   7405,   6650,     20,  16385,  20395,  23810,  27065,  27720,  24465,    -2200,   1225,   2460,   -565,  -7055,  -6220,  -6395,  -4325,   4195,   2125,  100.0,   16.9,    5.8,    2.0,   42.9,   51.0,   61.7,   58.7,   38.3,   41.3,  100.0,   18.8,    5.2,    1.2,   45.7,   53.9,   65.7,   60.3,   34.3,   39.7,  100.0,   14.4,   12.9,    0.0,   31.8,   39.6,   46.2,   52.5,   53.8,   47.5,     95,     24,     15,      7,     19,     41,     48,     60,     85,     21,     12,      3,     16,     39,     40,     52,     27,      6,      7,      1,      8,      6,     15,     13,    34.8,    24.6,    43.2,    32.6,    34.8,    24.4,    41.7,    32.4,    40.9,    25.6,    49.4,    33.6,    40.9,    25.6,    48.3,    33.4,    26.8,    38.2,    38.2,    46.9,    26.8,    38.2,    38.2,    46.9,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,921208 ,1992-12-08,001601 ,CBT ,00 ,001 ,   255055,  41470,  12180,   5510, 115545, 135125, 162525, 152815,  92530, 102240,   207855,  36160,   9340,   3165, 101645, 112105, 140970, 124610,  66885,  83245,    47200,   7650,   5180,      5,  13900,  23020,  21555,  28205,  25645,  18995,   -24390, -12835,   1070,    175,  -4235, -12500, -16895, -11255,  -7495, -13135,  100.0,   16.3,    4.8,    2.2,   45.3,   53.0,   63.7,   59.9,   36.3,   40.1,  100.0,   17.4,    4.5,    1.5,   48.9,   53.9,   67.8,   60.0,   32.2,   40.0,  100.0,   16.2,   11.0,    0.0,   29.4,   48.8,   45.7,   59.8,   54.3,   40.2,     97,     21,     15,      6,     25,     43,     51,     61,     88,     18,     11,      2,     23,     42,     43,     54,     26,      7,      7,      1,      6,      6,     14,     13,    34.7,    25.6,    43.5,    34.4,    34.7,    25.0,    41.9,    33.8,    40.4,    26.2,    49.1,    33.8,    40.4,    25.9,    47.8,    33.4,    27.2,    44.7,    38.2,    53.4,    27.2,    44.7,    38.2,    53.4,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,921201 ,1992-12-01,001601 ,CBT ,00 ,001 ,   279445,  54305,  11110,   5335, 119780, 147625, 179420, 164070, 100025, 115375,   230945,  47330,   8565,   4190, 106260, 121015, 157780, 133770,  73165,  97175,    48500,   8120,   3690,      0,  13520,  26610,  21640,  30300,  26860,  18200,     2095,  -2430,    295,   1085,   5825,  -3935,   4480,  -2555,  -2385,   4650,  100.0,   19.4,    4.0,    1.9,   42.9,   52.8,   64.2,   58.7,   35.8,   41.3,  100.0,   20.5,    3.7,    1.8,   46.0,   52.4,   68.3,   57.9,   31.7,   42.1,  100.0,   16.7,    7.6,    0.0,   27.9,   54.9,   44.6,   62.5,   55.4,   37.5,    103,     30,     12,      5,     24,     48,     56,     63,     95,     27,      8,      4,     22,     46,     50,     57,     26,      7,      5,      0,      7,      7,     14,     12,    31.8,    26.1,    39.6,    34.6,    31.0,    25.1,    37.5,    33.4,    35.9,    27.2,    44.3,    34.3,    35.8,    26.4,    43.2,    33.6,    23.8,    42.8,    36.2,    56.9,    23.8,    42.8,    36.2,    56.9,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,921124 ,1992-11-24,001601 ,CBT ,00 ,001 ,   277350,  56735,  10815,   4250, 113955, 151560, 174940, 166625, 102410, 110725,   234305,  49115,   8760,   4250, 103125, 126460, 156490, 139470,  77815,  94835,    43045,   7620,   2055,      0,  10830,  25100,  18450,  27155,  24595,  15890,   -20920,  -5035, -14910,  -2670,  -6940,   8195, -14645,  -9385,  -6275, -11535,  100.0,   20.5,    3.9,    1.5,   41.1,   54.6,   63.1,   60.1,   36.9,   39.9,  100.0,   21.0,    3.7,    1.8,   44.0,   54.0,   66.8,   59.5,   33.2,   40.5,  100.0,   17.7,    4.8,    0.0,   25.2,   58.3,   42.9,   63.1,   57.1,   36.9,     96,     30,     11,      5,     19,     46,     51,     60,     91,     27,      9,      5,     16,     45,     45,     57,     21,      6,      3,      0,      6,      6,     12,      9,    32.2,    26.5,    39.8,    35.2,    30.9,    25.5,    37.1,    34.2,    34.8,    27.6,    43.3,    35.0,    34.8,    26.9,    41.8,    34.3,    26.8,    49.0,    36.8,    61.6,    26.8,    49.0,    36.8,    61.6,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,921117 ,1992-11-17,001601 ,CBT ,00 ,001 ,   298270,  61770,  25725,   6920, 120895, 143365, 189585, 176010, 108685, 122260,   257670,  58650,  24815,   6575, 107290, 118455, 172515, 149845,  85155, 107825,    40600,   3465,   1255,      0,  13605,  24910,  17070,  26165,  23530,  14435,    18540,   3425,   7610,   2600,   9440,   3320,  15465,  13530,   3075,   5010,  100.0,   20.7,    8.6,    2.3,   40.5,   48.1,   63.6,   59.0,   36.4,   41.0,  100.0,   22.8,    9.6,    2.6,   41.6,   46.0,   67.0,   58.2,   33.0,   41.8,  100.0,    8.5,    3.1,    0.0,   33.5,   61.4,   42.0,   64.4,   58.0,   35.6,    109,     32,     22,     11,     21,     46,     60,     74,    106,     31,     20,     11,     19,     45,     56,     72,     18,      3,      2,      0,      6,      7,      9,      9,    29.1,    22.0,    37.9,    31.2,    27.7,    20.8,    35.9,    30.0,    32.1,    21.1,    41.3,    29.6,    32.1,    20.3,    40.2,    28.6,    29.0,    49.9,    40.8,    62.9,    29.0,    49.9,    40.8,    62.9,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,921110 ,1992-11-10,001601 ,CBT ,00 ,001 ,   279730,  58345,  18115,   4320, 111455, 140045, 174120, 162480, 105610, 117250,   244345,  55650,  17485,   4320,  97745, 118855, 157715, 140660,  86630, 103685,    35385,   2695,    630,      0,  13710,  21190,  16405,  21820,  18980,  13565,      625,   4585,   1465,    320,  -4690,  -6455,    215,  -4670,    410,   5295,  100.0,   20.9,    6.5,    1.5,   39.8,   50.1,   62.2,   58.1,   37.8,   41.9,  100.0,   22.8,    7.2,    1.8,   40.0,   48.6,   64.5,   57.6,   35.5,   42.4,  100.0,    7.6,    1.8,    0.0,   38.7,   59.9,   46.4,   61.7,   53.6,   38.3,    101,     33,     15,      5,     23,     45,     58,     64,     97,     30,     14,      5,     19,     44,     51,     62,     18,      3,      1,      0,      7,      7,     10,      8,    30.7,    21.7,    39.4,    31.9,    29.9,    20.7,    37.3,    30.5,    33.8,    21.2,    41.8,    30.4,    33.7,    21.2,    40.5,    30.1,    32.1,    48.0,    43.5,    61.7,    32.1,    48.0,    43.5,    61.7,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,921103 ,1992-11-03,001601 ,CBT ,00 ,001 ,   279105,  53760,  16650,   4000, 116145, 146500, 173905, 167150, 105200, 111955,   246080,  52290,  17620,   3030, 101220, 126420, 156540, 147070,  89540,  99010,    33025,   2440,      0,      0,  14925,  20080,  17365,  20080,  15660,  12945,    17535,   9940,   5010,  -2740,   6800,  -4215,  14000,  -1945,   3535,  19480,  100.0,   19.3,    6.0,    1.4,   41.6,   52.5,   62.3,   59.9,   37.7,   40.1,  100.0,   21.2,    7.2,    1.2,   41.1,   51.4,   63.6,   59.8,   36.4,   40.2,  100.0,    7.4,    0.0,    0.0,   45.2,   60.8,   52.6,   60.8,   47.4,   39.2,     99,     29,     15,      5,     24,     45,     56,     62,     97,     27,     15,      4,     21,     44,     50,     61,     16,      3,      0,      0,      6,      8,      9,      8,    29.9,    22.6,    38.9,    33.1,    29.1,    21.4,    36.1,    30.8,    33.0,    22.1,    40.9,    31.7,    33.0,    22.1,    38.8,    31.5,    40.6,    49.0,    51.1,    60.8,    40.6,    49.0,    51.1,    59.3,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,921027 ,1992-10-27,001601 ,CBT ,00 ,001 ,   261570,  43820,  11640,   6740, 109345, 150715, 159905, 169095, 101665,  92475,   232040,  44535,  11315,   4725,  95150, 133810, 144410, 149850,  87630,  82190,    29530,   1300,   2340,      0,  14195,  16905,  15495,  19245,  14035,  10285,   -18720, -11830,  -1645,   -115, -12645,  -6280, -24590,  -8040,   5870, -10680,  100.0,   16.8,    4.5,    2.6,   41.8,   57.6,   61.1,   64.6,   38.9,   35.4,  100.0,   19.2,    4.9,    2.0,   41.0,   57.7,   62.2,   64.6,   37.8,   35.4,  100.0,    4.4,    7.9,    0.0,   48.1,   57.2,   52.5,   65.2,   47.5,   34.8,    100,     30,     11,      8,     30,     44,     64,     61,    100,     31,     12,      6,     27,     44,     60,     60,     16,      2,      2,      0,      6,      7,      8,      9,    28.3,    25.6,    37.7,    35.5,    27.8,    24.1,    33.6,    32.5,    29.8,    24.6,    38.9,    34.3,    29.6,    24.5,    35.5,    33.9,    44.7,    49.7,    52.5,    63.5,    44.7,    49.7,    50.8,    63.5,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
