"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"WHEAT - CHICAGO BOARD OF TRADE" ,901231 ,1990-12-31,001601 ,CBT ,00 ,001 ,   234860,  16005,  40955,  21015,  74950, 101320, 111970, 163290, 122890,  71570,   168055,  25920,  33900,   5460,  44070,  76380,  75450, 115740,  92605,  52315,    66805,   4210,  21180,   1430,  30880,  24940,  36520,  47550,  30285,  19255,    -3895, -13230,   4180,   6260,  11470,  -4195,   4500,   6245,  -8395, -10140,  100.0,    6.8,   17.4,    8.9,   31.9,   43.1,   47.7,   69.5,   52.3,   30.5,  100.0,   15.4,   20.2,    3.2,   26.2,   45.4,   44.9,   68.9,   55.1,   31.1,  100.0,    6.3,   31.7,    2.1,   46.2,   37.3,   54.7,   71.2,   45.3,   28.8,     94,     18,     23,     16,     28,     30,     54,     65,     88,     21,     22,      6,     24,     28,     46,     55,     39,      6,     16,      1,     11,      6,     17,     23,    18.8,    27.4,    26.0,    35.5,    15.5,    26.2,    20.3,    33.0,    16.5,    23.6,    22.4,    33.3,    13.6,    23.6,    19.1,    32.2,    35.2,    39.0,    44.2,    50.7,    35.2,    39.0,    43.6,    50.7,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,901214 ,1990-12-14,001601 ,CBT ,00 ,001 ,   238755,  29235,  36775,  14755,  63480, 105515, 107470, 157045, 131285,  81710,   179425,  32690,  30805,   4240,  36885,  81020,  73815, 116065, 105610,  63360,    59330,   5820,  15245,   1240,  26595,  24495,  33655,  40980,  25675,  18350,    -6550,  -3800, -10565,   5310, -13150,  -2055, -11640,  -7310,   5090,    760,  100.0,   12.2,   15.4,    6.2,   26.6,   44.2,   45.0,   65.8,   55.0,   34.2,  100.0,   18.2,   17.2,    2.4,   20.6,   45.2,   41.1,   64.7,   58.9,   35.3,  100.0,    9.8,   25.7,    2.1,   44.8,   41.3,   56.7,   69.1,   43.3,   30.9,     97,     23,     22,     12,     27,     31,     56,     63,     91,     27,     21,      4,     22,     29,     49,     54,     35,      6,     13,      1,     10,      6,     16,     20,    17.2,    27.4,    24.2,    35.7,    16.8,    26.7,    21.4,    34.0,    13.0,    24.1,    19.8,    33.7,    12.3,    22.7,    18.5,    32.3,    35.1,    42.0,    46.9,    52.8,    35.1,    42.0,    46.0,    52.3,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,901130 ,1990-11-30,001601 ,CBT ,00 ,001 ,   245305,  33035,  47340,   9445,  76630, 107570, 119110, 164355, 126195,  80950,   190835,  32460,  39665,   4935,  47930,  83670,  85325, 128270, 105510,  62565,    54470,   4400,  11500,    685,  28700,  23900,  33785,  36085,  20685,  18385,   -35605,   8350,   -610,  -7250, -11015, -23130,  -9915, -30990, -25690,  -4615,  100.0,   13.5,   19.3,    3.9,   31.2,   43.9,   48.6,   67.0,   51.4,   33.0,  100.0,   17.0,   20.8,    2.6,   25.1,   43.8,   44.7,   67.2,   55.3,   32.8,  100.0,    8.1,   21.1,    1.3,   52.7,   43.9,   62.0,   66.2,   38.0,   33.8,    108,     28,     30,      9,     28,     29,     61,     64,    100,     28,     27,      5,     25,     26,     56,     56,     34,      3,     12,      1,     11,      8,     15,     20,    19.5,    28.1,    26.2,    36.4,    19.2,    28.1,    23.8,    35.8,    15.2,    26.4,    21.9,    35.8,    14.8,    26.4,    20.5,    34.5,    39.3,    40.6,    51.4,    49.9,    39.3,    40.6,    51.4,    49.9,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,901115 ,1990-11-15,001601 ,CBT ,00 ,001 ,   280910,  24685,  47950,  16695,  87645, 130700, 129025, 195345, 151885,  85565,   235860,  26780,  40740,  13590,  60210, 109005, 100580, 163335, 135280,  72525,    45050,    510,   9815,    500,  27435,  21695,  28445,  32010,  16605,  13040,    -1610, -12985,   2355,  -6280,  26085,  -8195,   6820, -12120,  -8430,  10510,  100.0,    8.8,   17.1,    5.9,   31.2,   46.5,   45.9,   69.5,   54.1,   30.5,  100.0,   11.4,   17.3,    5.8,   25.5,   46.2,   42.6,   69.3,   57.4,   30.7,  100.0,    1.1,   21.8,    1.1,   60.9,   48.2,   63.1,   71.1,   36.9,   28.9,    125,     28,     34,     15,     42,     34,     80,     77,    115,     30,     28,     12,     33,     31,     69,     68,     31,      1,      8,      1,     13,      8,     15,     17,    15.4,    27.0,    20.9,    34.5,    14.4,    25.6,    17.2,    30.7,    13.2,    25.6,    18.6,    34.4,    12.3,    25.3,    15.4,    32.8,    37.5,    45.5,    51.0,    56.5,    37.5,    45.5,    51.0,    56.5,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,901031 ,1990-10-31,001601 ,CBT ,00 ,001 ,   282520,  37670,  45595,  22975,  61560, 138895, 122205, 207465, 160315,  75055,   248450,  39905,  41235,  20240,  44070, 122875, 104215, 184350, 144235,  64100,    34070,      0,   6595,    500,  17490,  16020,  17990,  23115,  16080,  10955,   -11410,  -1350,   3560,  -6890, -10580,   -655, -18820,  -3985,   7410,  -7425,  100.0,   13.3,   16.1,    8.1,   21.8,   49.2,   43.3,   73.4,   56.7,   26.6,  100.0,   16.1,   16.6,    8.1,   17.7,   49.5,   41.9,   74.2,   58.1,   25.8,  100.0,    0.0,   19.4,    1.5,   51.3,   47.0,   52.8,   67.8,   47.2,   32.2,    124,     26,     38,     20,     36,     32,     78,     79,    120,     30,     33,     17,     29,     30,     70,     74,     25,      0,      8,      1,     11,      6,     12,     14,    11.3,    27.9,    16.2,    37.1,    10.4,    26.7,    13.3,    33.2,    10.4,    27.0,    14.8,    37.5,     9.5,    26.9,    13.1,    35.8,    28.8,    46.5,    44.0,    57.4,    28.8,    46.5,    44.0,    57.4,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,901015 ,1990-10-15,001601 ,CBT ,00 ,001 ,   293930,  39020,  42035,  29865,  72140, 139550, 141025, 211450, 152905,  82480,   268985,  39520,  42310,  26595,  60945, 128590, 127060, 197495, 141925,  71490,    24945,   2770,   2995,      0,  11195,  10960,  13965,  13955,  10980,  10990,    -6095, -25215,   2540,   4050,   9170,  -7135, -11995,   -545,   5900,  -5550,  100.0,   13.3,   14.3,   10.2,   24.5,   47.5,   48.0,   71.9,   52.0,   28.1,  100.0,   14.7,   15.7,    9.9,   22.7,   47.8,   47.2,   73.4,   52.8,   26.6,  100.0,   11.1,   12.0,    0.0,   44.9,   43.9,   56.0,   55.9,   44.0,   44.1,    132,     34,     35,     22,     38,     34,     91,     78,    131,     39,     30,     22,     32,     33,     85,     77,     20,      1,      5,      0,     10,      4,     11,      9,    12.4,    29.3,    18.1,    37.1,    11.5,    28.1,    14.2,    34.6,    12.2,    28.8,    17.4,    37.4,    11.7,    28.8,    14.7,    36.3,    32.2,    45.0,    49.8,    53.9,    32.2,    45.0,    49.8,    53.9,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,900928 ,1990-09-28,001601 ,CBT ,00 ,001 ,   300025,  64235,  39495,  25815,  62970, 146685, 153020, 211995, 147005,  88030,   284480,  64235,  42865,  22445,  58010, 140625, 144690, 205935, 139790,  78545,    15545,   3370,      0,      0,   4960,   6060,   8330,   6060,   7215,   9485,    15770,  26185,  -1695,  -1515,  -2970,  23560,  21700,  20350,  -5930,  -4580,  100.0,   21.4,   13.2,    8.6,   21.0,   48.9,   51.0,   70.7,   49.0,   29.3,  100.0,   22.6,   15.1,    7.9,   20.4,   49.4,   50.9,   72.4,   49.1,   27.6,  100.0,   21.7,    0.0,    0.0,   31.9,   39.0,   53.6,   39.0,   46.4,   61.0,    125,     45,     28,     20,     29,     34,     84,     75,    124,     45,     28,     19,     28,     34,     82,     75,     10,      2,      0,      0,      4,      4,      6,      4,    11.8,    25.1,    19.2,    34.8,    11.8,    24.3,    17.6,    30.9,    12.5,    25.6,    19.2,    35.6,    12.5,    25.4,    18.0,    32.9,    45.0,    39.0,    53.6,    39.0,    45.0,    39.0,    53.6,    39.0,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,900914 ,1990-09-14,001601 ,CBT ,00 ,001 ,   284255,  38050,  41190,  27330,  65940, 123125, 131320, 191645, 152935,  92610,   269665,  38315,  44865,  23020,  62115, 117645, 123450, 185530, 146215,  84135,    14590,   4045,    635,      0,   3825,   5480,   7870,   6115,   6720,   8475,     2770,    -55,   2575,    575,  -8735,   6010,  -8215,   9160,  10985,  -6390,  100.0,   13.4,   14.5,    9.6,   23.2,   43.3,   46.2,   67.4,   53.8,   32.6,  100.0,   14.2,   16.6,    8.5,   23.0,   43.6,   45.8,   68.8,   54.2,   31.2,  100.0,   27.7,    4.4,    0.0,   26.2,   37.6,   53.9,   41.9,   46.1,   58.1,    121,     36,     30,     22,     29,     35,     78,     79,    119,     35,     32,     20,     28,     34,     76,     77,     12,      3,      1,      0,      3,      5,      6,      6,    11.2,    18.4,    17.5,    28.1,     9.4,    15.4,    13.3,    23.7,    11.2,    18.9,    17.4,    29.2,     9.3,    16.4,    13.4,    25.1,    45.5,    33.5,    53.9,    41.9,    45.5,    33.5,    53.9,    41.9,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,900831 ,1990-08-31,001601 ,CBT ,00 ,001 ,   281485,  38105,  38615,  26755,  74675, 117115, 139535, 182485, 141950,  99000,   271095,  37285,  40865,  24505,  71440, 113435, 133230, 178805, 137865,  92290,    10390,   3070,      0,      0,   3235,   3680,   6305,   3680,   4085,   6710,   -15555,  -6740,   7415,     65,  -5250,  -9370, -11925,  -1890,  -3630, -13665,  100.0,   13.5,   13.7,    9.5,   26.5,   41.6,   49.6,   64.8,   50.4,   35.2,  100.0,   13.8,   15.1,    9.0,   26.4,   41.8,   49.1,   66.0,   50.9,   34.0,  100.0,   29.5,    0.0,    0.0,   31.1,   35.4,   60.7,   35.4,   39.3,   64.6,    113,     31,     29,     18,     32,     34,     72,     75,    111,     31,     30,     17,     31,     33,     70,     74,     10,      3,      0,      0,      3,      4,      6,      4,    12.0,    21.5,    18.9,    29.8,    10.3,    18.7,    15.9,    25.2,    11.9,    22.0,    19.0,    30.4,    10.2,    19.5,    15.9,    26.0,    51.1,    35.4,    60.7,    35.4,    51.1,    35.4,    60.7,    35.4,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,900815 ,1990-08-15,001601 ,CBT ,00 ,001 ,   297040,  44845,  31200,  26690,  79925, 126485, 151460, 184375, 145580, 112665,   289765,  44340,  32200,  25690,  77550, 123850, 147580, 181740, 142185, 108025,     7275,   1505,      0,      0,   2375,   2635,   3880,   2635,   3395,   4640,   -12685,  -5125,  -6175,  -2420,   1385,  -5520,  -6160, -14115,  -6525,   1430,  100.0,   15.1,   10.5,    9.0,   26.9,   42.6,   51.0,   62.1,   49.0,   37.9,  100.0,   15.3,   11.1,    8.9,   26.8,   42.7,   50.9,   62.7,   49.1,   37.3,  100.0,   20.7,    0.0,    0.0,   32.6,   36.2,   53.3,   36.2,   46.7,   63.8,    112,     34,     20,     18,     35,     42,     75,     78,    111,     32,     21,     18,     35,     42,     74,     78,      7,      2,      0,      0,      2,      3,      4,      3,    11.1,    17.7,    18.1,    26.1,     9.7,    16.2,    15.0,    23.3,    10.8,    18.2,    17.7,    26.7,     9.4,    16.8,    14.8,    23.9,    53.3,    36.2,    53.3,    36.2,    53.3,    36.2,    53.3,    36.2,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
