"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"WHEAT - CHICAGO BOARD OF TRADE" ,881230 ,1988-12-30,001601 ,CBT ,00 ,001 ,   321890,  67685,  12945,  20620, 117005, 156100, 205310, 189665, 116580, 132225,   205975,  56270,  11180,  10610,  55835, 103300, 122715, 125090,  83260,  80885,   115915,  20040,  10390,   1385,  61170,  52800,  82595,  64575,  33320,  51340,    20155,  31035,  -9050,   7410, -22500,  22150,  15945,  20510,   4210,   -355,  100.0,   21.0,    4.0,    6.4,   36.3,   48.5,   63.8,   58.9,   36.2,   41.1,  100.0,   27.3,    5.4,    5.2,   27.1,   50.2,   59.6,   60.7,   40.4,   39.3,  100.0,   17.3,    9.0,    1.2,   52.8,   45.6,   71.3,   55.7,   28.7,   44.3,    117,     36,     17,     14,     23,     50,     68,     76,     97,     36,     13,      7,     14,     40,     51,     59,     58,     16,     11,      1,     14,     19,     31,     30,    19.6,    20.3,    29.5,    28.5,    14.7,    13.0,    22.3,    18.7,    17.2,    15.5,    27.1,    24.4,    14.2,    15.1,    23.3,    22.7,    39.1,    36.8,    51.1,    42.1,    39.1,    35.5,    51.1,    40.3,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,881215 ,1988-12-15,001601 ,CBT ,00 ,001 ,   301735,  36650,  21995,  13210, 139505, 133950, 189365, 169155, 112370, 132580,   202135,  35040,  17905,   4610,  79765,  92215, 119415, 114730,  82720,  87405,    99600,   8795,  11275,   1415,  59740,  41735,  69950,  54425,  29650,  45175,   -11410,  12660,  -2565,  -2630, -29585, -11215, -19555, -16410,   8145,   5000,  100.0,   12.1,    7.3,    4.4,   46.2,   44.4,   62.8,   56.1,   37.2,   43.9,  100.0,   17.3,    8.9,    2.3,   39.5,   45.6,   59.1,   56.8,   40.9,   43.2,  100.0,    8.8,   11.3,    1.4,   60.0,   41.9,   70.2,   54.6,   29.8,   45.4,    111,     30,     21,     10,     21,     48,     57,     76,     95,     27,     18,      2,     16,     42,     44,     61,     44,      9,     12,      2,     10,     14,     21,     26,    24.9,    17.7,    35.2,    24.4,    17.8,     8.4,    25.2,    13.4,    23.9,    12.8,    34.2,    20.8,    20.8,    10.4,    29.7,    18.1,    47.6,    34.0,    58.9,    41.3,    47.6,    33.7,    58.9,    40.6,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,881130 ,1988-11-30,001601 ,CBT ,00 ,001 ,   313145,  23990,  24560,  15840, 169090, 145165, 208920, 185565, 104225, 127580,   224230,  29785,  23325,   4570, 109295, 109660, 143650, 137555,  80580,  86675,    88915,   4595,  11625,    880,  59795,  35505,  65270,  48010,  23645,  40905,   -45435, -15245,  -2955, -13630,   5285, -23060, -23590, -39645, -21845,  -5790,  100.0,    7.7,    7.8,    5.1,   54.0,   46.4,   66.7,   59.3,   33.3,   40.7,  100.0,   13.3,   10.4,    2.0,   48.7,   48.9,   64.1,   61.3,   35.9,   38.7,  100.0,    5.2,   13.1,    1.0,   67.2,   39.9,   73.4,   54.0,   26.6,   46.0,    110,     20,     28,     12,     25,     45,     54,     80,    102,     23,     25,      4,     21,     42,     45,     70,     36,      4,     10,      1,     11,     12,     16,     22,    29.4,    23.7,    42.5,    30.5,    15.8,     6.4,    23.4,    10.3,    28.9,    23.7,    40.7,    30.5,    21.0,    14.1,    28.7,    19.5,    50.5,    33.3,    65.4,    41.4,    50.5,    33.3,    65.4,    41.4,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,881115 ,1988-11-15,001601 ,CBT ,00 ,001 ,   358580,  39235,  27515,  29470, 163805, 168225, 232510, 225210, 126070, 133370,   288100,  41930,  26265,  21050, 121490, 138885, 184470, 186200, 103630, 101900,    70480,   5205,   9150,    520,  42315,  29340,  48040,  39010,  22440,  31470,     5650,  -8160,   4035,   2325,  14195,  -7895,   8360,  -1535,  -2710,   7185,  100.0,   10.9,    7.7,    8.2,   45.7,   46.9,   64.8,   62.8,   35.2,   37.2,  100.0,   14.6,    9.1,    7.3,   42.2,   48.2,   64.0,   64.6,   36.0,   35.4,  100.0,    7.4,   13.0,    0.7,   60.0,   41.6,   68.2,   55.3,   31.8,   44.7,    118,     29,     30,     21,     26,     40,     71,     79,    109,     29,     27,     16,     22,     38,     62,     71,     33,      5,      9,      1,     11,      9,     17,     18,    26.8,    23.3,    37.1,    30.4,    16.9,     9.2,    24.0,    14.7,    28.3,    22.3,    37.3,    29.6,    20.8,    11.8,    26.7,    18.1,    40.0,    37.9,    55.8,    45.3,    40.0,    37.9,    55.8,    45.3,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,881031 ,1988-10-31,001601 ,CBT ,00 ,001 ,   352930,  47395,  23480,  27145, 149610, 176120, 224150, 226745, 128780, 126185,   304965,  51290,  23580,  18570, 123260, 157290, 193120, 199440, 111845, 105525,    47965,   3885,   7680,    795,  26350,  18830,  31030,  27305,  16935,  20660,   -31745, -29375,   5245,   1760,  34555, -41135,   6940, -34130, -38685,   2385,  100.0,   13.4,    6.7,    7.7,   42.4,   49.9,   63.5,   64.2,   36.5,   35.8,  100.0,   16.8,    7.7,    6.1,   40.4,   51.6,   63.3,   65.4,   36.7,   34.6,  100.0,    8.1,   16.0,    1.7,   54.9,   39.3,   64.7,   56.9,   35.3,   43.1,    124,     34,     28,     19,     29,     42,     79,     77,    118,     37,     26,     14,     22,     40,     68,     72,     32,      4,      7,      1,     14,      8,     19,     15,    25.1,    23.7,    33.8,    32.7,    18.2,    15.2,    25.0,    21.2,    25.5,    24.1,    34.8,    33.2,    19.4,    17.1,    26.3,    23.6,    32.2,    36.9,    45.9,    47.3,    32.2,    36.9,    45.9,    47.3,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,881014 ,1988-10-14,001601 ,CBT ,00 ,001 ,   384675,  76770,  18235,  25385, 115055, 217255, 217210, 260875, 167465, 123800,   348555,  80360,  19720,  17450, 100845, 202525, 198655, 239695, 149900, 108860,    36120,   4345,   6450,      0,  14210,  14730,  18555,  21180,  17565,  14940,    26470,   9460,   4810,   2005,  -8425,   7175,   3040,  13990,  23430,  12480,  100.0,   20.0,    4.7,    6.6,   29.9,   56.5,   56.5,   67.8,   43.5,   32.2,  100.0,   23.1,    5.7,    5.0,   28.9,   58.1,   57.0,   68.8,   43.0,   31.2,  100.0,   12.0,   17.9,    0.0,   39.3,   40.8,   51.4,   58.6,   48.6,   41.4,    138,     48,     23,     17,     28,     47,     87,     78,    131,     47,     23,     14,     23,     46,     78,     76,     24,      5,      4,      0,     11,      4,     16,      8,    17.1,    32.6,    25.4,    40.3,    14.0,    30.4,    21.9,    36.0,    18.4,    33.1,    27.2,    40.9,    15.6,    31.9,    23.9,    37.6,    23.2,    46.9,    36.2,    58.6,    23.2,    46.9,    36.2,    58.6,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,880930 ,1988-09-30,001601 ,CBT ,00 ,001 ,   358205,  67310,  13425,  23380, 123480, 210080, 214170, 246885, 144035, 111320,   326010,  71015,  14325,  15780, 109450, 195645, 196245, 225750, 129765, 100260,    32195,   3895,   6700,      0,  14030,  14435,  17925,  21135,  14270,  11060,     -180, -29720,   4875,   3035,  53890,  -9080,  27205,  -1170, -27385,    990,  100.0,   18.8,    3.7,    6.5,   34.5,   58.6,   59.8,   68.9,   40.2,   31.1,  100.0,   21.8,    4.4,    4.8,   33.6,   60.0,   60.2,   69.2,   39.8,   30.8,  100.0,   12.1,   20.8,    0.0,   43.6,   44.8,   55.7,   65.6,   44.3,   34.4,    123,     40,     17,     17,     32,     42,     86,     67,    115,     40,     16,     13,     26,     41,     75,     65,     24,      5,      5,      0,     10,      4,     15,      9,    20.9,    31.7,    28.8,    40.8,    16.9,    28.5,    23.7,    35.2,    22.9,    31.3,    31.2,    41.1,    19.2,    29.9,    26.3,    37.2,    28.8,    52.6,    41.0,    64.1,    28.8,    52.6,    41.0,    64.1,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,880915 ,1988-09-15,001601 ,CBT ,00 ,001 ,   358385,  97030,   8550,  20345,  69590, 219160, 186965, 248055, 171420, 110330,   332460, 100745,  10080,  14575,  59340, 207905, 174660, 232560, 157800,  99900,    25925,   2055,   4240,      0,  10250,  11255,  12305,  15495,  13620,  10430,    70685,  34355,  -3565,   3075,   2080,  47885,  39510,  47395,  31175,  23290,  100.0,   27.1,    2.4,    5.7,   19.4,   61.2,   52.2,   69.2,   47.8,   30.8,  100.0,   30.3,    3.0,    4.4,   17.8,   62.5,   52.5,   70.0,   47.5,   30.0,  100.0,    7.9,   16.4,    0.0,   39.5,   43.4,   47.5,   59.8,   52.5,   40.2,    145,     66,     11,     15,     26,     51,    101,     71,    141,     65,     12,     12,     21,     51,     93,     70,     16,      3,      2,      0,      9,      2,     12,      4,     9.5,    32.6,    16.9,    41.2,     7.9,    31.6,    13.8,    38.5,    10.0,    32.0,    17.8,    41.4,     8.5,    32.0,    14.9,    39.4,    26.9,    59.8,    39.2,    59.8,    26.9,    59.8,    39.2,    59.8,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,880831 ,1988-08-31,001601 ,CBT ,00 ,001 ,   287700,  62675,  12115,  17270,  67510, 171275, 147455, 200660, 140245,  87040,   267970,  66830,  13630,  10075,  59445, 162815, 136350, 186520, 131620,  81450,    19730,   3040,   5680,      0,   8065,   8460,  11105,  14140,   8625,   5590,    10575,  20550,  -2185,   1585, -23520,  19375,  -1385,  18775,  11960,  -8200,  100.0,   21.8,    4.2,    6.0,   23.5,   59.5,   51.3,   69.7,   48.7,   30.3,  100.0,   24.9,    5.1,    3.8,   22.2,   60.8,   50.9,   69.6,   49.1,   30.4,  100.0,   15.4,   28.8,    0.0,   40.9,   42.9,   56.3,   71.7,   43.7,   28.3,    124,     44,     16,     11,     28,     46,     81,     66,    120,     44,     15,      9,     25,     46,     74,     66,     16,      4,      3,      0,      7,      2,     11,      5,    12.2,    28.8,    19.8,    38.9,     9.9,    26.5,    14.5,    34.1,    12.3,    28.3,    19.7,    39.0,    10.6,    26.8,    16.2,    35.0,    32.1,    65.5,    48.4,    71.7,    32.1,    65.5,    48.4,    71.7,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,880815 ,1988-08-15,001601 ,CBT ,00 ,001 ,   277125,  42125,  14300,  15685,  91030, 151900, 148840, 181885, 128285,  95240,   258410,  47000,  15300,   9290,  78995, 144475, 135285, 169065, 123125,  89345,    18715,   1520,   5395,      0,  12035,   7425,  13555,  12820,   5160,   5895,    13030,  -1325,    875,  -1560,    730,   5750,  -2155,   5065,  15185,   7965,  100.0,   15.2,    5.2,    5.7,   32.8,   54.8,   53.7,   65.6,   46.3,   34.4,  100.0,   18.2,    5.9,    3.6,   30.6,   55.9,   52.4,   65.4,   47.6,   34.6,  100.0,    8.1,   28.8,    0.0,   64.3,   39.7,   72.4,   68.5,   27.6,   31.5,    100,     30,     11,     11,     29,     38,     62,     59,     98,     29,     12,     10,     27,     38,     58,     59,     14,      2,      3,      0,      7,      2,      9,      5,    16.6,    29.6,    26.4,    37.2,    11.6,    26.6,    18.6,    33.3,    16.0,    29.3,    25.2,    37.3,    12.5,    26.9,    19.0,    33.8,    54.5,    62.0,    69.8,    68.5,    54.5,    62.0,    69.8,    68.5,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
