"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"WHEAT - CHICAGO BOARD OF TRADE" ,871231 ,1987-12-31,001601 ,CBT ,00 ,001 ,   148660,  16045,   6895,   5410,  44905,  62935,  66360,  75240,  82300,  73420,   111435,  16680,   5425,   2100,  29835,  52470,  48615,  59995,  62820,  51440,    37225,   2675,   4780,      0,  15070,  10465,  17745,  15245,  19480,  21980,      610,      5,   4015,  -2495,   4180,  -7750,   1690,  -6230,  -1080,   6840,  100.0,   10.8,    4.6,    3.6,   30.2,   42.3,   44.6,   50.6,   55.4,   49.4,  100.0,   15.0,    4.9,    1.9,   26.8,   47.1,   43.6,   53.8,   56.4,   46.2,  100.0,    7.2,   12.8,    0.0,   40.5,   28.1,   47.7,   41.0,   52.3,   59.0,     71,     22,      9,      5,     21,     25,     45,     39,     62,     20,      7,      2,     18,     23,     39,     32,     20,      3,      5,      0,      7,      5,     10,     10,    14.4,    23.5,    21.2,    32.1,    13.6,    19.8,    19.0,    26.4,    14.6,    25.6,    21.2,    36.0,    13.7,    22.5,    19.9,    31.9,    31.4,    31.0,    45.0,    38.2,    31.4,    31.0,    45.0,    38.2,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,871215 ,1987-12-15,001601 ,CBT ,00 ,001 ,   148050,  16040,   2880,   7905,  40725,  70685,  64670,  81470,  83380,  66580,   116365,  20445,   2670,   2500,  28835,  62545,  51780,  67715,  64585,  48650,    31685,   1000,   5615,      0,  11890,   8140,  12890,  13755,  18795,  17930,    -1570,   1045,  -1045,  -1280,   -825,    770,  -1060,  -1555,   -510,    -15,  100.0,   10.8,    1.9,    5.3,   27.5,   47.7,   43.7,   55.0,   56.3,   45.0,  100.0,   17.6,    2.3,    2.1,   24.8,   53.7,   44.5,   58.2,   55.5,   41.8,  100.0,    3.2,   17.7,    0.0,   37.5,   25.7,   40.7,   43.4,   59.3,   56.6,     62,     19,      6,     10,     18,     27,     42,     40,     56,     20,      5,      3,     14,     26,     36,     32,     19,      2,      7,      0,      5,      5,      7,     12,    16.0,    28.5,    23.6,    36.4,    13.8,    27.0,    19.4,    32.9,    17.1,    32.1,    24.1,    40.3,    15.0,    31.7,    21.5,    39.1,    35.9,    27.5,    40.7,    36.6,    35.9,    27.5,    40.7,    36.6,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,871130 ,1987-11-30,001601 ,CBT ,00 ,001 ,   149620,  14995,   3925,   9185,  41550,  69915,  65730,  83025,  83890,  66595,   120950,  19845,   3690,   3085,  29570,  61440,  52500,  68215,  68450,  52735,    28670,   1250,   6335,      0,  11980,   8475,  13230,  14810,  15440,  13860,   -19725,   6950,  -8445,  -3355, -20205,   4375, -16610,  -7425,  -3115, -12300,  100.0,   10.0,    2.6,    6.1,   27.8,   46.7,   43.9,   55.5,   56.1,   44.5,  100.0,   16.4,    3.1,    2.6,   24.4,   50.8,   43.4,   56.4,   56.6,   43.6,  100.0,    4.4,   22.1,    0.0,   41.8,   29.6,   46.1,   51.7,   53.9,   48.3,     62,     20,      5,      9,     16,     26,     41,     39,     57,     22,      4,      3,     14,     24,     37,     31,     18,      2,      7,      0,      5,      4,      7,     11,    14.8,    27.2,    23.3,    36.3,    13.9,    25.6,    20.4,    32.2,    15.4,    30.1,    23.0,    39.9,    15.0,    28.6,    21.8,    36.8,    40.0,    36.8,    46.1,    46.4,    40.0,    36.8,    46.1,    46.4,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,871113 ,1987-11-13,001601 ,CBT ,00 ,001 ,   169345,   8045,  12370,  12540,  61755,  65540,  82340,  90450,  87005,  78895,   144275,  11940,  13100,   7595,  50590,  54930,  70125,  75625,  74150,  68650,    25070,   1050,   4215,      0,  11165,  10610,  12215,  14825,  12855,  10245,    -3460, -15085,   7480,    515,   9085, -17405,  -5485,  -9410,   2025,   5950,  100.0,    4.8,    7.3,    7.4,   36.5,   38.7,   48.6,   53.4,   51.4,   46.6,  100.0,    8.3,    9.1,    5.3,   35.1,   38.1,   48.6,   52.4,   51.4,   47.6,  100.0,    4.2,   16.8,    0.0,   44.5,   42.3,   48.7,   59.1,   51.3,   40.9,     63,     11,     14,     14,     24,     20,     45,     42,     62,     15,     13,      9,     22,     19,     41,     38,     15,      2,      5,      0,      5,      4,      7,      9,    15.8,    24.6,    24.9,    32.3,    14.9,    23.3,    22.2,    28.7,    15.5,    23.3,    24.0,    30.8,    14.0,    23.0,    21.7,    29.3,    42.5,    45.4,    48.7,    57.1,    42.5,    43.4,    46.6,    55.1,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,871030 ,1987-10-30,001601 ,CBT ,00 ,001 ,   172805,  23130,   4890,  12025,  52670,  82945,  87825,  99860,  84980,  72945,   158745,  25230,   5390,   9425,  46135,  79180,  80790,  93995,  77955,  64750,    14060,    500,   2100,      0,   6535,   3765,   7035,   5865,   7025,   8195,   -45880, -34005,  -5805,   1115,   7600, -40070, -25290, -44760, -20590,  -1120,  100.0,   13.4,    2.8,    7.0,   30.5,   48.0,   50.8,   57.8,   49.2,   42.2,  100.0,   15.9,    3.4,    5.9,   29.1,   49.9,   50.9,   59.2,   49.1,   40.8,  100.0,    3.6,   14.9,    0.0,   46.5,   26.8,   50.0,   41.7,   50.0,   58.3,     68,     22,      8,     15,     22,     21,     52,     41,     67,     24,      8,     12,     19,     19,     48,     37,     12,      1,      3,      0,      5,      3,      6,      6,    11.2,    31.0,    18.9,    39.8,    11.2,    26.7,    18.4,    34.2,    12.2,    32.7,    20.3,    41.5,    12.2,    31.0,    19.7,    37.8,    40.8,    34.6,    50.0,    41.7,    40.8,    34.6,    50.0,    41.7,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,871015 ,1987-10-15,001601 ,CBT ,00 ,001 ,   218685,  57135,  10695,  10910,  45070, 123015, 113115, 144620, 105570,  74065,   206540,  58475,  11195,   8510,  40670, 120240, 107655, 139945,  98885,  66595,    12145,   1060,   1900,      0,   4400,   2775,   5460,   4675,   6685,   7470,    13675,  20010,  -7845,  -2435,   -810,  19565,  16765,   9285,  -3090,   4390,  100.0,   26.1,    4.9,    5.0,   20.6,   56.3,   51.7,   66.1,   48.3,   33.9,  100.0,   28.3,    5.4,    4.1,   19.7,   58.2,   52.1,   67.8,   47.9,   32.2,  100.0,    8.7,   15.6,    0.0,   36.2,   22.8,   45.0,   38.5,   55.0,   61.5,    101,     44,     11,     11,     23,     28,     73,     47,     99,     44,     11,      8,     21,     26,     69,     43,     12,      2,      3,      0,      4,      3,      6,      6,     8.6,    41.3,    14.2,    47.1,     8.6,    38.1,    13.8,    43.9,     9.1,    42.9,    14.8,    49.0,     9.1,    40.5,    14.7,    46.6,    36.2,    30.2,    45.0,    38.5,    36.2,    30.2,    45.0,    38.5,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,870930 ,1987-09-30,001601 ,CBT ,00 ,001 ,   205010,  37125,  18540,  13345,  45880, 103450,  96350, 135335, 108660,  69675,   196845,  38610,  17795,  11860,  43180, 101620,  93650, 131275, 103195,  65570,     8165,      0,   2230,      0,   2700,   1830,   2700,   4060,   5465,   4105,    11505,    680,   5225,   2420,  13220,  -3135,  16320,   4510,  -4815,   6995,  100.0,   18.1,    9.0,    6.5,   22.4,   50.5,   47.0,   66.0,   53.0,   34.0,  100.0,   19.6,    9.0,    6.0,   21.9,   51.6,   47.6,   66.7,   52.4,   33.3,  100.0,    0.0,   27.3,    0.0,   33.1,   22.4,   33.1,   49.7,   66.9,   50.3,     97,     34,     17,     10,     26,     30,     65,     53,     95,     35,     15,     10,     25,     28,     64,     50,      9,      0,      3,      0,      3,      3,      3,      6,    10.5,    30.5,    17.2,    38.9,    10.0,    28.4,    15.0,    35.4,    10.9,    31.4,    17.9,    39.9,    10.4,    29.8,    15.7,    37.1,    33.1,    36.9,    33.1,    49.7,    33.1,    36.9,    33.1,    49.7,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,870915 ,1987-09-15,001601 ,CBT ,00 ,001 ,   193505,  36445,  13315,  10925,  32660, 106585,  80030, 130825, 113475,  62680,   187875,  36445,  12815,  10925,  30860, 104850,  78230, 128590, 109645,  59285,     5630,      0,    500,      0,   1800,   1735,   1800,   2235,   3830,   3395,    -7565,   9050,   2425,  -6705, -14095,   2145, -11750,  -2135,   4185,  -5430,  100.0,   18.8,    6.9,    5.6,   16.9,   55.1,   41.4,   67.6,   58.6,   32.4,  100.0,   19.4,    6.8,    5.8,   16.4,   55.8,   41.6,   68.4,   58.4,   31.6,  100.0,    0.0,    8.9,    0.0,   32.0,   30.8,   32.0,   39.7,   68.0,   60.3,     93,     36,     14,     10,     18,     29,     61,     49,     92,     36,     14,     10,     17,     28,     60,     48,      5,      0,      1,      0,      2,      2,      2,      3,     9.9,    30.5,    15.0,    40.3,     6.4,    27.9,    10.1,    35.8,    10.2,    31.4,    15.4,    40.6,     6.5,    28.6,    10.4,    36.2,    32.0,    39.7,    32.0,    39.7,    32.0,    39.7,    32.0,    39.7,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,870831 ,1987-08-31,001601 ,CBT ,00 ,001 ,   201070,  27395,  10890,  17630,  46755, 104440,  91780, 132960, 109290,  68110,   196715,  27395,  10890,  17630,  45105, 103440,  90130, 131960, 106585,  64755,     4355,      0,      0,      0,   1650,   1000,   1650,   1000,   2705,   3355,    -1675,   2670,    345,   4740,   -575,  -4455,   6835,    630,  -8510,  -2305,  100.0,   13.6,    5.4,    8.8,   23.3,   51.9,   45.6,   66.1,   54.4,   33.9,  100.0,   13.9,    5.5,    9.0,   22.9,   52.6,   45.8,   67.1,   54.2,   32.9,  100.0,    0.0,    0.0,    0.0,   37.9,   23.0,   37.9,   23.0,   62.1,   77.0,     87,     29,     14,     12,     19,     29,     56,     51,     86,     29,     14,     12,     17,     29,     54,     51,      3,      0,      0,      0,      2,      1,      2,      1,    11.7,    32.4,    19.1,    39.9,     9.8,    27.7,    14.1,    35.0,    12.0,    33.1,    19.5,    40.7,    10.0,    28.3,    14.6,    35.7,    37.9,    23.0,    37.9,    23.0,    37.9,    23.0,    37.9,    23.0,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,870814 ,1987-08-14,001601 ,CBT ,00 ,001 ,   202745,  24725,  10545,  12890,  47330, 108895,  84945, 132330, 117800,  70415,   198805,  24725,  10545,  12890,  45780, 108045,  83395, 131480, 115410,  67325,     3940,      0,      0,      0,   1550,    850,   1550,    850,   2390,   3090,    18505,   7530,  -8060,   1655,    510,  27815,   9695,  21410,   8810,  -2905,  100.0,   12.2,    5.2,    6.4,   23.3,   53.7,   41.9,   65.3,   58.1,   34.7,  100.0,   12.4,    5.3,    6.5,   23.0,   54.3,   41.9,   66.1,   58.1,   33.9,  100.0,    0.0,    0.0,    0.0,   39.3,   21.6,   39.3,   21.6,   60.7,   78.4,     80,     25,     12,      9,     21,     30,     50,     48,     80,     25,     12,      9,     21,     30,     50,     48,      3,      0,      0,      0,      2,      1,      2,      1,    11.1,    33.5,    17.6,    42.5,    10.6,    29.6,    15.5,    36.1,    11.3,    34.2,    17.9,    42.9,    10.9,    30.2,    15.8,    36.7,    39.3,    21.6,    39.3,    21.6,    39.3,    21.6,    39.3,    21.6,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
