"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"WHEAT - CHICAGO BOARD OF TRADE" ,891229 ,1989-12-29,001601 ,CBT ,00 ,001 ,   265630,  39100,  18970,  38530,  73805,  98195, 151435, 155695, 114195, 109935,   164195,  33590,  21845,   8240,  50710,  57580,  92540,  87665,  71655,  76530,   101435,  21680,  13295,  14120,  23095,  40615,  58895,  68030,  42540,  33405,   -14945,  -8990,  -1895,   1350,   9200,  -6875,   1560,  -7420, -16505,  -7525,  100.0,   14.7,    7.1,   14.5,   27.8,   37.0,   57.0,   58.6,   43.0,   41.4,  100.0,   20.5,   13.3,    5.0,   30.9,   35.1,   56.4,   53.4,   43.6,   46.6,  100.0,   21.4,   13.1,   13.9,   22.8,   40.0,   58.1,   67.1,   41.9,   32.9,    106,     26,     21,     20,     31,     42,     69,     73,     86,     23,     18,      7,     17,     32,     43,     54,     60,     15,     14,     10,     17,     15,     37,     34,    19.9,    18.4,    27.8,    26.5,    18.6,    17.6,    23.4,    23.1,    24.8,    18.0,    32.0,    25.3,    24.5,    18.0,    31.5,    25.3,    20.8,    25.8,    30.3,    37.5,    14.9,    25.8,    23.9,    35.4,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,891215 ,1989-12-15,001601 ,CBT ,00 ,001 ,   280575,  48090,  20865,  37180,  64605, 105070, 149875, 163115, 130700, 117460,   181995,  42515,  23100,   9055,  42355,  64260,  93925,  96415,  88070,  85580,    98580,  20420,  12610,  13280,  22250,  40810,  55950,  66700,  42630,  31880,    26335,  -6825,  -2675,  11320,  13265,  13720,  17760,  22365,   8575,   3970,  100.0,   17.1,    7.4,   13.3,   23.0,   37.4,   53.4,   58.1,   46.6,   41.9,  100.0,   23.4,   12.7,    5.0,   23.3,   35.3,   51.6,   53.0,   48.4,   47.0,  100.0,   20.7,   12.8,   13.5,   22.6,   41.4,   56.8,   67.7,   43.2,   32.3,    110,     34,     22,     19,     21,     44,     65,     78,     97,     34,     19,      9,     11,     36,     48,     61,     52,     13,     14,      9,     12,     15,     29,     34,    18.8,    17.8,    26.2,    25.6,    16.6,    17.7,    21.0,    22.9,    20.7,    17.7,    27.0,    24.1,    20.4,    17.7,    26.2,    24.1,    24.5,    26.4,    34.5,    38.2,    15.2,    25.8,    24.3,    34.0,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,891130 ,1989-11-30,001601 ,CBT ,00 ,001 ,   254240,  54915,  23540,  25860,  51340,  91350, 132115, 140750, 122125, 113490,   175770,  42990,  23935,   7540,  39090,  61190,  89620,  92665,  86150,  83105,    78470,  24150,  11830,   6095,  12250,  30160,  42495,  48085,  35975,  30385,    -8410,  17425,  -6780, -12850, -20860,  17885, -16285,  -1745,   7875,  -6665,  100.0,   21.6,    9.3,   10.2,   20.2,   35.9,   52.0,   55.4,   48.0,   44.6,  100.0,   24.5,   13.6,    4.3,   22.2,   34.8,   51.0,   52.7,   49.0,   47.3,  100.0,   30.8,   15.1,    7.8,   15.6,   38.4,   54.2,   61.3,   45.8,   38.7,    107,     30,     22,     20,     21,     41,     61,     76,     95,     28,     22,      8,     17,     33,     49,     59,     47,     14,     12,      5,      7,     15,     23,     30,    16.8,    14.3,    24.7,    21.2,    15.9,    14.3,    22.2,    19.7,    17.8,    13.8,    24.2,    20.0,    17.8,    13.8,    24.0,    19.7,    23.6,    25.5,    35.2,    36.6,    23.6,    24.1,    33.3,    34.2,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,891115 ,1989-11-15,001601 ,CBT ,00 ,001 ,   262650,  37490,  30320,  38710,  72200,  73465, 148400, 142495, 114250, 120155,   194265,  28430,  28500,  18705,  56905,  55090, 104040, 102295,  90225,  91970,    68385,  17650,  10410,  11415,  15295,  18375,  44360,  40200,  24025,  28185,    -2010,  15035, -11400,  -3935, -22280,  20395, -11180,   5060,   9170,  -7070,  100.0,   14.3,   11.5,   14.7,   27.5,   28.0,   56.5,   54.3,   43.5,   45.7,  100.0,   14.6,   14.7,    9.6,   29.3,   28.4,   53.6,   52.7,   46.4,   47.3,  100.0,   25.8,   15.2,   16.7,   22.4,   26.9,   64.9,   58.8,   35.1,   41.2,    103,     25,     24,     25,     21,     39,     57,     81,     93,     22,     26,     15,     17,     31,     44,     68,     46,     12,     12,      7,      8,     13,     24,     29,    16.7,    10.2,    27.7,    17.0,    14.4,     8.3,    21.4,    13.9,    19.1,    12.2,    27.7,    18.4,    18.8,     9.9,    25.8,    15.7,    29.6,    21.0,    42.2,    30.9,    23.4,    16.3,    34.0,    25.2,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,891031 ,1989-10-31,001601 ,CBT ,00 ,001 ,   264660,  22455,  41720,  42645,  94480,  53070, 159580, 137435, 105080, 127225,   202050,  21865,  36125,  18830,  74110,  46060, 114805, 101015,  87245, 101035,    62610,   9650,  14655,  14755,  20370,   7010,  44775,  36420,  17835,  26190,     6335, -23695,  18995,  10855,  15390, -29395,   2550,    455,   3785,   5880,  100.0,    8.5,   15.8,   16.1,   35.7,   20.1,   60.3,   51.9,   39.7,   48.1,  100.0,   10.8,   17.9,    9.3,   36.7,   22.8,   56.8,   50.0,   43.2,   50.0,  100.0,   15.4,   23.4,   23.6,   32.5,   11.2,   71.5,   58.2,   28.5,   41.8,    112,     21,     34,     26,     31,     36,     69,     82,    102,     20,     30,     16,     28,     31,     57,     69,     40,      9,     15,     10,      9,      7,     22,     28,    21.9,     8.5,    30.8,    14.7,    19.7,     6.4,    26.6,    10.8,    22.6,     9.5,    31.0,    15.6,    20.2,     9.0,    28.6,    14.9,    36.1,    18.9,    50.8,    30.4,    26.5,    12.0,    38.8,    20.3,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,891013 ,1989-10-13,001601 ,CBT ,00 ,001 ,   258325,  46150,  22725,  31790,  79090,  82465, 157030, 136980, 101295, 121345,   209690,  35995,  20925,  16790,  69885,  73845, 122670, 111560,  87020,  98130,    48635,  19895,  11540,   5260,   9205,   8620,  34360,  25420,  14275,  23215,   -25060,   6560, -22440,   5910, -35780,   7225, -23310,  -9305,  -1750, -15755,  100.0,   17.9,    8.8,   12.3,   30.6,   31.9,   60.8,   53.0,   39.2,   47.0,  100.0,   17.2,   10.0,    8.0,   33.3,   35.2,   58.5,   53.2,   41.5,   46.8,  100.0,   40.9,   23.7,   10.8,   18.9,   17.7,   70.6,   52.3,   29.4,   47.7,    118,     29,     22,     21,     25,     56,     66,     89,    110,     31,     19,     13,     22,     50,     58,     77,     34,      7,     11,      4,      7,      8,     17,     22,    21.2,     7.9,    30.5,    13.4,    17.9,     6.7,    26.4,    11.4,    22.2,     9.4,    29.9,    15.5,    19.4,     9.1,    25.8,    14.5,    41.5,    19.5,    57.1,    29.8,    40.1,    15.5,    52.2,    25.1,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,890929 ,1989-09-29,001601 ,CBT ,00 ,001 ,   283385,  39590,  45165,  25880, 114870,  75240, 180340, 146285, 103045, 137100,   247625,  39390,  41505,  12830, 105740,  72110, 157960, 126445,  89665, 121180,    35760,   7460,  10920,   5790,   9130,   3130,  22380,  19840,  13380,  15920,   -31425,   9225, -16955,  -9595, -42790,  -4305, -43160, -30855,  11735,   -570,  100.0,   14.0,   15.9,    9.1,   40.5,   26.6,   63.6,   51.6,   36.4,   48.4,  100.0,   15.9,   16.8,    5.2,   42.7,   29.1,   63.8,   51.1,   36.2,   48.9,  100.0,   20.9,   30.5,   16.2,   25.5,    8.8,   62.6,   55.5,   37.4,   44.5,    119,     19,     37,     19,     29,     43,     58,     92,    111,     22,     32,     12,     26,     39,     52,     80,     29,      6,     12,      4,      7,      5,     15,     19,    25.1,     9.6,    36.4,    15.4,    20.7,     8.3,    31.1,    12.6,    27.6,    10.4,    38.1,    16.8,    22.9,     9.1,    33.4,    14.3,    29.6,    21.4,    46.9,    35.3,    23.7,    17.5,    36.6,    26.8,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,890915 ,1989-09-15,001601 ,CBT ,00 ,001 ,   314810,  30365,  62120,  35475, 157660,  79545, 223500, 177140,  91310, 137670,   279190,  30545,  61555,  19665, 152185,  75020, 202395, 156240,  76795, 122950,    35620,   5990,   6735,   9640,   5475,   4525,  21105,  20900,  14515,  14720,    -8250,   1195,  18715,   4720, -14185, -22460,  -8270,    975,     20,  -9225,  100.0,    9.6,   19.7,   11.3,   50.1,   25.3,   71.0,   56.3,   29.0,   43.7,  100.0,   10.9,   22.0,    7.0,   54.5,   26.9,   72.5,   56.0,   27.5,   44.0,  100.0,   16.8,   18.9,   27.1,   15.4,   12.7,   59.3,   58.7,   40.7,   41.3,    135,     26,     44,     18,     31,     42,     66,     97,    129,     24,     45,     13,     29,     38,     60,     89,     25,      8,      8,      5,      4,      5,     14,     17,    28.2,     9.4,    38.9,    15.9,    24.6,     7.8,    35.4,    12.4,    31.0,     8.7,    43.1,    15.4,    27.5,     8.3,    39.6,    13.3,    31.9,    27.5,    48.6,    43.3,    19.7,    17.6,    28.8,    25.3,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,890831 ,1989-08-31,001601 ,CBT ,00 ,001 ,   323060,  29170,  43405,  30755, 171845, 102005, 231770, 176165,  91290, 146895,   295285,  20920,  43955,  21815, 169925,  96390, 212660, 162160,  82625, 133125,    27775,  14205,   5405,   2985,   1920,   5615,  19110,  14005,   8665,  13770,     3095,  -8535,  -1840,  15835,   5375, -13860,  12675,    135,  -9580,   2960,  100.0,    9.0,   13.4,    9.5,   53.2,   31.6,   71.7,   54.5,   28.3,   45.5,  100.0,    7.1,   14.9,    7.4,   57.5,   32.6,   72.0,   54.9,   28.0,   45.1,  100.0,   51.1,   19.5,   10.7,    6.9,   20.2,   68.8,   50.4,   31.2,   49.6,    126,     18,     42,     17,     30,     43,     59,     93,    122,     14,     41,     14,     30,     42,     57,     88,     19,      6,      7,      2,      2,      4,      9,     12,    30.9,    11.3,    42.6,    18.4,    26.1,     8.7,    35.7,    12.7,    33.4,    11.5,    46.1,    18.6,    28.9,     8.6,    39.4,    13.1,    51.0,    24.2,    65.9,    41.5,    44.8,    22.9,    58.1,    35.8,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,890815 ,1989-08-15,001601 ,CBT ,00 ,001 ,   319965,  37705,  45245,  14920, 166470, 115865, 219095, 176030, 100870, 143935,   302235,  34715,  49790,   7590, 164550, 109960, 206855, 167340,  95380, 134895,    17730,  10320,   2785,      0,   1920,   5905,  12240,   8690,   5490,   9040,    -8425,   8670,  -4540,   5145, -30200,   8235, -16385,   8840,   7960, -17265,  100.0,   11.8,   14.1,    4.7,   52.0,   36.2,   68.5,   55.0,   31.5,   45.0,  100.0,   11.5,   16.5,    2.5,   54.4,   36.4,   68.4,   55.4,   31.6,   44.6,  100.0,   58.2,   15.7,    0.0,   10.8,   33.3,   69.0,   49.0,   31.0,   51.0,    131,     19,     40,     17,     33,     51,     65,     98,    128,     18,     41,      9,     33,     49,     59,     92,     20,      9,      4,      0,      2,      5,     11,      9,    28.2,    11.0,    40.1,    18.2,    24.6,    10.3,    35.1,    16.3,    29.5,    11.4,    41.8,    19.0,    26.6,    10.7,    36.8,    17.0,    39.5,    30.1,    59.6,    46.1,    39.5,    30.1,    59.6,    46.1,"(THOUSAND BUSHELS)" ,"001601" ,"CBT" ,"001"
